,Node ID,Eastings,Northings,wgsLong,wgsLat
1,722,834038.674,816345.067,114.155241726,22.28599503
2,50059,833862.7,816441.553,114.15353399,22.286866123
3,724,834148.783,816250.647,114.156310311,22.285142496
4,752,835099.22,815634.373,114.16553342,22.279578054
5,875,834918.334,815759.379,114.163778139,22.280706806
6,756,835352.749,815640.774,114.167993464,22.279636012
7,760,835602.186,815600.695,114.170413823,22.279274186
8,762,836029.641,815629.493,114.174561499,22.279534361
9,50078,836298.985,815671.02,114.177175003,22.279909392
10,781,836585.353,815155.819,114.179953597,22.275256767
11,50098,836705.363,815357.127,114.1811181,22.277074681
12,786,836793.573,815852.754,114.181974169,22.281550485
13,7861,836714.038,815819.064,114.181202404,22.281246265
14,789,836748.301,815908.341,114.181534896,22.282052484
15,7908,836950.758,815938.449,114.183499428,22.28232431
16,793,837428.196,816174.589,114.188132375,22.284456547
17,877,837616.85,816570.66,114.189963323,22.288033181
18,818,838881.248,817243.884,114.202233889,22.294111357
19,821,839406.398,817161.385,114.207329899,22.293365462
20,50107,839823.434,816928.645,114.21137637,22.291262864
21,868,836682.388,815883.302,114.18089531,22.281826383
22,870,836803.159,815997.652,114.182067234,22.282859003
23,4651,836884.007,816087.665,114.182851773,22.28367185
24,3402,834754.135,815848.947,114.162184783,22.281515527
25,893,832738.968,816762.428,114.142628904,22.289761895
26,4652,833101.677,816778.101,114.146148572,22.289904135
27,896,834264.546,816083.739,114.157433837,22.283635349
28,910,840060.004,816792.715,114.213671729,22.290034827
29,931,840101.178,816617.612,114.21407086,22.288453446
30,930,840495.49,816655.752,114.217897297,22.288796951
31,9101,840052.115,816777.46,114.213595139,22.289897082
32,4650,839919.319,816768.747,114.212306476,22.289818685
33,3006,834913.16,818626.797,114.16372552,22.306601372
34,30069,834823.46,818955.081,114.162854679,22.309565904
35,3010,835020.456,819072.594,114.164766491,22.31062727
36,888301,834711.437,818893.39,114.161767523,22.309008699
37,3363,839521.209,820694.514,114.208451228,22.325271539
38,3369,839269.874,820683.627,114.206011656,22.325173681
39,3368,839344.209,820099.964,114.206732056,22.319902728
40,88810,839314.866,820127.978,114.206447306,22.320155764
41,33691,839284.825,820586.955,114.206156593,22.32430065
42,3370,839125.949,820671.968,114.204614646,22.325068639
43,34211,838961.948,820481.832,114.203022473,22.323351864
44,3393,838680.921,821720.124,114.200296627,22.334534781
45,88817,839074.865,821794.406,114.204120778,22.335204991
46,3395,838185.484,821426.384,114.19548706,22.331882763
47,8979,834575.127,815899.799,114.160447752,22.281974586
48,3417,837789.141,821018.42,114.191639436,22.328199008
