,Start_node,End_node,Road_Type,Region,Distance
0,722,50059,MAJOR ROUTE,HK,200.68960689252947
1,724,722,URBAN ROAD,HK,145.04864441624414
2,752,875,URBAN ROAD,HK,219.87761491633538
3,756,752,URBAN ROAD,HK,253.60965901860476
4,760,756,URBAN ROAD,HK,252.63620556166583
5,762,50078,MAJOR ROUTE,HK,272.5263208899963
6,781,50098,MAJOR ROUTE,HK,234.36561092051127
7,786,7861,URBAN ROAD,HK,86.37599920233241
8,789,7908,URBAN ROAD,HK,204.68335685410804
9,793,877,MAJOR ROUTE,HK,438.7053028813308
10,818,821,MAJOR ROUTE,HK,531.5902641063069
11,821,50107,MAJOR ROUTE,HK,477.5840807378234
12,868,870,MAJOR ROUTE,HK,166.31751228505874
13,870,4651,MAJOR ROUTE,HK,120.99055659174338
14,875,3402,URBAN ROAD,HK,187.039339229646
15,893,4652,MAJOR ROUTE,HK,363.04715502817066
16,896,724,URBAN ROAD,HK,203.1238588363004
17,910,931,MAJOR ROUTE,HK,179.8785916360956
18,930,931,MAJOR ROUTE,HK,396.1519436506506
19,930,9101,MAJOR ROUTE,HK,459.77586928057315
20,931,4650,MAJOR ROUTE,HK,236.46222176415765
21,3006,30069,URBAN ROAD,K,340.31806170994014
22,3010,888301,URBAN ROAD,K,357.2207223034339
23,3363,3369,URBAN ROAD,K,251.5704980991898
24,3368,88810,MAJOR ROUTE,K,40.568443345688245
25,3369,33691,URBAN ROAD,K,97.82120960716989
26,3369,3370,URBAN ROAD,K,144.3963767804586
27,3370,34211,URBAN ROAD,K,251.0934645640733
28,3393,88817,MAJOR ROUTE,K,400.88584339921135
29,3395,3393,MAJOR ROUTE,K,575.9692276146058
30,3402,8979,URBAN ROAD,HK,186.0906424426136
31,3417,3681,URBAN ROAD,K,249.83626092771206
32,3419,3417,URBAN ROAD,K,290.1678708017947
33,3450,34502,URBAN ROAD,K,30.17378006644713
34,3453,46312,MAJOR ROUTE,K,223.13945668309483
35,3457,3664,MAJOR ROUTE,K,192.76408099360924
36,3458,88819,URBAN ROAD,K,159.0557363693907
37,3459,3615,URBAN ROAD,K,175.1971329606653
38,3460,78201,URBAN ROAD,K,443.1911172788594
39,3470,3006,URBAN ROAD,K,440.1110897592673
40,3480,88818,URBAN ROAD,K,745.4302469877294
41,3480,888302,MAJOR ROUTE,K,351.7893537707791
42,3483,88825,MAJOR ROUTE,K,293.68701828357405
43,3484,4640,MAJOR ROUTE,K,30.489956018730886
44,3488,3489,URBAN ROAD,K,224.3777707978384
45,3489,88816,URBAN ROAD,K,218.27355004881002
46,3491,3010,URBAN ROAD,K,330.23611373023857
47,3498,3499,URBAN ROAD,K,210.01963498231459
48,3499,88822,URBAN ROAD,K,119.44225377322505
49,3500,3499,URBAN ROAD,K,256.9592030189369
50,3502,3500,URBAN ROAD,K,178.78938700902796
51,3503,3502,URBAN ROAD,K,518.4138007289064
52,3504,888231,URBAN ROAD,K,207.7478771065211
53,3505,3504,URBAN ROAD,K,352.070036809476
54,3506,3483,MAJOR ROUTE,K,101.66994836332238
55,3615,3460,URBAN ROAD,K,186.74718202687984
56,3632,46322,MAJOR ROUTE,K,237.62615286954815
57,3633,3632,MAJOR ROUTE,K,581.7928540273775
58,3637,888151,MAJOR ROUTE,K,571.2595886722539
59,3639,88814,MAJOR ROUTE,K,188.7491242674805
60,3643,88813,MAJOR ROUTE,K,472.39720446076853
61,3644,3690,MAJOR ROUTE,K,715.9764642327931
62,3651,4632,MAJOR ROUTE,HK,158.06673576219902
63,3664,3458,URBAN ROAD,K,443.75555860563435
64,3681,3395,URBAN ROAD,K,319.14975736448537
65,3690,3643,MAJOR ROUTE,K,724.3041711878706
66,3692,46332,MAJOR ROUTE,K,282.4331909754697
67,3715,3457,MAJOR ROUTE,K,498.93730273008794
68,4640,4643,MAJOR ROUTE,K,283.7706930321576
69,4643,3480,MAJOR ROUTE,K,151.76126388069224
70,4644,88801,MAJOR ROUTE,K,33.40644457071243
71,4646,88806,URBAN ROAD,K,28.793490609187145
72,4647,46478,MAJOR ROUTE,HK,30.24149306106157
73,4648,46488,MAJOR ROUTE,HK,28.647737656328093
74,4649,46497,MAJOR ROUTE,HK,38.09162373448739
75,4650,3651,MAJOR ROUTE,HK,2253.8251713627883
76,4651,4631,MAJOR ROUTE,HK,2064.3332793807276
77,4652,4633,MAJOR ROUTE,HK,1970.2857315644862
78,5011,50119,MAJOR ROUTE,HK,25.73398888291509
79,7861,7871,URBAN ROAD,HK,79.07055214521452
80,7871,7881,URBAN ROAD,HK,124.2567731405496
81,7881,870,MAJOR ROUTE,HK,232.92658255421014
82,7908,7909,URBAN ROAD,HK,55.20822313375429
83,7909,793,URBAN ROAD,HK,477.4513914029922
84,8212,8182,MAJOR ROUTE,HK,520.7580580563994
85,8978,896,URBAN ROAD,HK,308.66860227641166
86,8979,8978,URBAN ROAD,HK,53.933179199649544
87,9101,50108,MAJOR ROUTE,HK,217.65098750242723
88,30069,888301,URBAN ROAD,K,127.88636292342692
89,33671,3363,URBAN ROAD,K,83.7092802956674
90,33681,3643,MAJOR ROUTE,K,298.9785290229055
91,33691,33671,URBAN ROAD,K,255.8239293654796
92,33701,3369,URBAN ROAD,K,144.0303185988505
93,34211,33681,MAJOR ROUTE,K,541.1302069407077
94,34212,34213,MAJOR ROUTE,K,279.7181368039991
95,34212,33701,URBAN ROAD,K,297.47702107258766
96,34213,34222,MAJOR ROUTE,K,1019.5469526174155
97,34214,34211,MAJOR ROUTE,K,183.21500223068378
98,34221,34214,MAJOR ROUTE,K,1030.6843109865542
99,34222,888241,MAJOR ROUTE,K,256.72015424290254
100,34371,88821,MAJOR ROUTE,K,780.0770530038225
101,34372,3450,MAJOR ROUTE,K,643.0521170167193
102,34481,34371,MAJOR ROUTE,K,629.7126220354314
103,34501,34481,URBAN ROAD,K,216.3018604857694
104,34502,88812,URBAN ROAD,K,288.6512645211789
105,34551,34554,URBAN ROAD,K,154.09168795095368
106,34552,88803,URBAN ROAD,K,134.69624146972396
107,34554,34501,URBAN ROAD,K,187.52842571671297
108,34554,888302,URBAN ROAD,K,37.70487707025653
109,34781,36662,URBAN ROAD,K,423.6241682737224
110,34783,88805,URBAN ROAD,K,31.061496129232214
111,34982,36661,URBAN ROAD,K,786.3468012943626
112,35071,3488,URBAN ROAD,K,617.5474516118567
113,35071,3505,URBAN ROAD,K,113.18140790618921
114,36511,46502,MAJOR ROUTE,K,2252.870411824281
115,36661,34783,URBAN ROAD,K,453.5816886963193
116,36662,3498,URBAN ROAD,K,811.7380806049524
117,36821,3491,URBAN ROAD,K,321.2875820285768
118,36821,34982,MAJOR ROUTE,K,214.27369303819185
119,46312,46319,MAJOR ROUTE,K,212.78437201525435
120,46319,46512,MAJOR ROUTE,K,1850.1884025159304
121,46322,36511,MAJOR ROUTE,K,156.35949035326794
122,46332,46522,MAJOR ROUTE,K,0.0
123,46478,46479,MAJOR ROUTE,HK,187.49420922531323
124,46479,781,MAJOR ROUTE,HK,205.5319025135389
125,46488,762,MAJOR ROUTE,HK,226.14778598504574
126,46495,4649,MAJOR ROUTE,HK,37.45065074003146
127,50018,760,MAJOR ROUTE,HK,145.94009976481965
128,50019,50018,MAJOR ROUTE,HK,56.27740997021161
129,50045,50049,MAJOR ROUTE,HK,252.1993004959036
130,50048,893,MAJOR ROUTE,HK,552.8713471167832
131,50049,50048,MAJOR ROUTE,HK,51.827745608285674
132,50058,50045,MAJOR ROUTE,HK,261.644378669178
133,50059,50058,MAJOR ROUTE,HK,50.70755264358858
134,50078,50079,MAJOR ROUTE,HK,53.82748780862306
135,50098,50099,MAJOR ROUTE,HK,63.486563361977154
136,50106,8212,MAJOR ROUTE,HK,475.0258417289079
137,50107,50109,MAJOR ROUTE,HK,61.863431522221546
138,50108,50106,MAJOR ROUTE,HK,56.48471632788387
139,50109,910,MAJOR ROUTE,HK,211.13215931056098
140,50119,930,MAJOR ROUTE,HK,511.85033114015744
141,50178,50019,MAJOR ROUTE,HK,498.08932430128533
142,50179,50178,MAJOR ROUTE,HK,68.08049980674902
143,78201,88820,URBAN ROAD,K,196.9289746617206
144,88801,36821,MAJOR ROUTE,K,280.1626323530001
145,88803,34781,URBAN ROAD,K,62.97529973253153
146,88805,34551,URBAN ROAD,K,116.12766406195381
147,88806,88807,URBAN ROAD,K,41.127467718030516
148,88807,3506,URBAN ROAD,K,588.5534536650133
149,88807,35071,URBAN ROAD,K,180.62587844455527
150,88810,34212,MAJOR ROUTE,K,391.91878092093503
151,88812,88827,URBAN ROAD,K,51.838023296894725
152,88813,888131,MAJOR ROUTE,K,66.98080454272018
153,88814,888141,MAJOR ROUTE,K,57.313690083438765
154,88816,888161,URBAN ROAD,K,58.21043736241564
155,88817,888171,MAJOR ROUTE,K,57.3331815951716
156,88818,888181,URBAN ROAD,K,57.15006934186684
157,88819,888191,URBAN ROAD,K,59.49618947074882
158,88820,888201,URBAN ROAD,K,59.77011688192789
159,88821,888211,MAJOR ROUTE,K,68.18419562000842
160,88822,888221,URBAN ROAD,K,66.96603355696064
161,88824,34372,MAJOR ROUTE,K,791.8515548251887
162,88825,3484,MAJOR ROUTE,K,197.5230977687257
163,88827,34552,URBAN ROAD,K,180.44699799263364
164,88827,888303,URBAN ROAD,K,139.32859638864315
165,888131,3639,MAJOR ROUTE,K,1408.3476325752144
166,888141,3637,MAJOR ROUTE,K,395.1984185362321
167,888151,3633,MAJOR ROUTE,K,67.59545653909768
168,888161,3419,URBAN ROAD,K,148.65588296949463
169,888171,3644,MAJOR ROUTE,K,595.5968147334235
170,888181,3715,URBAN ROAD,K,367.56033267213604
171,888191,3459,URBAN ROAD,K,81.8715117109075
172,888201,3470,URBAN ROAD,K,459.2861377215402
173,888211,34221,MAJOR ROUTE,K,255.0026389831662
174,888221,3010,URBAN ROAD,K,66.9347919157368
175,888231,3503,URBAN ROAD,K,67.55911802139961
176,888241,88824,MAJOR ROUTE,K,60.63952885991921
177,888301,3692,MAJOR ROUTE,K,418.3025005322106
178,888302,888303,MAJOR ROUTE,K,133.59920856606263
179,888303,3453,MAJOR ROUTE,K,222.19311242586375
180,991001,992001,MAJOR ROUTE,ST,20.00000635726856
181,991002,992004,MAJOR ROUTE,ST,19.996028532265424
182,991003,992007,MAJOR ROUTE,ST,19.999981369771344
183,991004,992010,MAJOR ROUTE,ST,20.00000198061121
184,991005,992013,MAJOR ROUTE,ST,20.000027878805867
185,991006,992016,MAJOR ROUTE,ST,19.998045811001866
186,991007,992019,MAJOR ROUTE,ST,19.96864896226669
187,991008,992022,MAJOR ROUTE,ST,19.999976114577127
188,991009,992025,MAJOR ROUTE,ST,19.999286512894297
189,991010,992028,MAJOR ROUTE,ST,19.999978371831325
190,991011,992031,MAJOR ROUTE,ST,19.999922078712697
191,991012,992034,MAJOR ROUTE,ST,19.99992082407336
192,991013,992037,MAJOR ROUTE,ST,20.000068223500673
193,991015,992042,MAJOR ROUTE,ST,19.99995735812183
194,991016,992045,MAJOR ROUTE,ST,20.000027983963303
195,991017,992048,MAJOR ROUTE,ST,19.999923231808175
196,991018,992051,MAJOR ROUTE,ST,20.000042312278655
197,991019,992054,MAJOR ROUTE,ST,19.99996047333041
198,991020,992057,MAJOR ROUTE,ST,20.00005790130224
199,991021,992060,MAJOR ROUTE,ST,19.996506309939274
200,991022,992063,MAJOR ROUTE,ST,19.999912237328203
201,991023,992066,MAJOR ROUTE,ST,20.000036027673023
202,991024,992069,MAJOR ROUTE,ST,19.99953433075005
203,991025,992072,URBAN ROAD,ST,19.99186527194464
204,991026,992075,MAJOR ROUTE,ST,19.999996164422072
205,991027,992078,MAJOR ROUTE,ST,19.999923337397462
206,991028,992083,URBAN ROAD,ST,19.99996496195065
207,991029,992084,MAJOR ROUTE,ST,19.993582191098362
208,991030,992086,URBAN ROAD,ST,19.997411564478245
209,991031,992090,URBAN ROAD,ST,19.999974659833878
210,991032,992093,URBAN ROAD,ST,19.999874298425688
211,991033,992098,MAJOR ROUTE,ST,19.984862229075706
212,991034,992101,MAJOR ROUTE,ST,19.99999296943541
213,991035,992104,URBAN ROAD,ST,19.97389766662239
214,991035,992105,MAJOR ROUTE,ST,19.99990009120471
215,991036,992108,MAJOR ROUTE,ST,20.000047395222253
216,991037,992111,MAJOR ROUTE,ST,19.999465923355558
217,991038,992114,MAJOR ROUTE,ST,19.938400011118276
218,991040,992119,MAJOR ROUTE,ST,19.99997287465405
219,991041,992122,MAJOR ROUTE,ST,20.000018734652627
220,991042,992125,MAJOR ROUTE,ST,19.997143558735825
221,991044,992130,MAJOR ROUTE,ST,19.999160035039584
222,991045,992133,MAJOR ROUTE,ST,19.999930183409298
223,991046,992136,MAJOR ROUTE,ST,19.999934232518555
224,991048,992139,MAJOR ROUTE,TM,19.99996835152925
225,991049,992144,MAJOR ROUTE,TM,19.999880394371136
226,991050,992145,MAJOR ROUTE,TM,19.99593754390263
227,991051,992148,MAJOR ROUTE,TM,20.00000429233851
228,991052,992151,MAJOR ROUTE,TM,19.999930355742524
229,991053,992154,MAJOR ROUTE,TM,19.99992481551462
